name	type	description	onlinefilter	samplingrate
SCLK01-177	SysClock	System time showing elapsed time since trial started	anti-alias	2400
BG1-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BG2-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BG3-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BP1-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BP2-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BP3-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BR1-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BR2-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
BR3-4408	MAG REF	Reference magnetometer channel	anti-alias	2400
G11-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
G12-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
G13-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
G22-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
G23-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
P11-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
P12-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
P13-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
P22-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
P23-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
Q11-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
Q12-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
Q22-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
Q23-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
R12-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
R13-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
R22-4408	GRAD REF	Reference 1st-order gradiometer channel	anti-alias	2400
MLC11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC15-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC16-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC17-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC25-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC61-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC62-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLC63-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF11-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF12-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF13-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF14-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF21-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF22-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF23-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF24-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF25-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF31-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF32-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF33-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF34-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF35-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF41-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF42-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF43-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF44-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF45-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF46-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF51-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF52-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF53-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF54-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF55-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF56-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF61-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF62-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF63-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF64-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF65-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
MLF66-4408	MEG	Sensor 1st-order gradiometer channel located in head shell	anti-alias	2400
